rank,PubYear,Life Sciences,Physics,Chemistry,Computers,Engineering,Mathematics,Agriculture & Environment,Humanity,Others,Sums of cits
188,2001,1.333333333,2442.266667,198.1333333,2.25,331.1,32.66666667,0.5,0.5,44.25,3053
189,2000,2942.983333,2.166666667,14.33333333,2,34.68333333,1,5.5,0,47.33333333,3050
190,2001,20.83333333,504.5166667,1270.3,0,1133.85,1,109,0.5,7,3047
191,1995,2872.054762,7.2,61.51190476,1.75,27.13333333,6.75,6.266666667,0,58.33333333,3041
192,1995,2247.45,0.25,11.08333333,0.666666667,2.916666667,1.333333333,733.2666667,1.833333333,34,3032.8
193,2002,2678.583333,6.5,17.75,31.93333333,13.5,19.4,20.66666667,10.66666667,231,3030
194,1998,2977.216667,0.5,2.333333333,1.333333333,15.33333333,1.283333333,0.833333333,3.166666667,26,3028
195,1998,2799.533333,0.333333333,4.5,0,2.166666667,0,28.96666667,0,159.5,2995
196,2001,2924.883333,0,4.75,1.333333333,22,0.2,12.08333333,7.75,15,2988
197,1987,2737.261111,1.333333333,95.64444444,0,6,0.25,9.177777778,2.833333333,108.5,2961
198,1969,2590.483333,0,15.08333333,0.5,99.76666667,0,56.66666667,0,72.5,2835
199,1963,1871.866667,0,5.5,0,89.46666667,0,8.166666667,1,91,2067
200,2002,2577.15,18.98333333,96.31666667,1.783333333,154.7666667,0.833333333,5.833333333,0.5,91.83333333,2948
201,1987,0,2690.755556,101.6666667,1.5,56.07777778,39.83333333,7.5,0.666666667,48,2946
202,1987,2701.283333,0,6.933333333,0,2.833333333,0,5.7,0.5,227.75,2945
203,2000,2758.45,8.333333333,48.25,1.7,24.98333333,0,42.61666667,1.166666667,55.5,2941
204,1990,2716.85,6.333333333,99.21666667,0,13.26666667,0,13.58333333,2.316666667,85.43333333,2937
205,2001,371.2333333,39.36666667,2381.416667,5.833333333,109.9833333,0.333333333,5.333333333,1.5,20,2935
206,2001,1266.7,409.85,958.0166667,53.11666667,135.6833333,29.4,10.73333333,1,70.5,2935
207,1989,2829.405556,0,4.338888889,0,8.7,0.5,11.12222222,1.083333333,76.85,2932
208,2000,2594.721429,2.333333333,39.81666667,15.99285714,17.2,10.81904762,21.1,4.183333333,220.8333333,2927
209,1989,202.3801587,247.2404762,2239.080159,17.71666667,155.4190476,16.83333333,27.83015873,1.5,17,2925
210,1998,2795.216667,4.733333333,17.03333333,0.166666667,17.1,1.333333333,17.16666667,0.25,68,2921
211,1995,2805.133333,0,10.36666667,0.166666667,9.5,0.333333333,1.5,1,81,2909
212,1999,2785.216667,0.75,1.833333333,5.833333333,106.25,1.533333333,2.333333333,0.25,3,2907
213,1988,2851.166667,0.5,6.833333333,2.666666667,19.83333333,0,0.5,1.5,8,2891
214,1986,2710.583333,12.33333333,15.16666667,5.916666667,118.1,5.833333333,2.833333333,10.23333333,3,2884
215,1979,2490.25,0,3.916666667,0,5.833333333,0,9,0,374,2883
216,1989,2628.130159,0,4.727777778,0,0,0,8.808730159,0,239.3333333,2881
217,1987,2700.483333,0,15.43333333,0,29.08333333,0,2,0,123,2870
218,1996,2734.5,0.4,13.8,1,21.6,0.333333333,14.86666667,0,80.5,2867
219,1993,2728.716667,0.5,35.25,0,30.65,0,14.08333333,4.8,53,2867
220,1993,2768.15,0,6.45,0.416666667,14.91666667,0.333333333,3.566666667,0.666666667,68.5,2863
221,2002,2695.966667,0.983333333,22.7,0.616666667,17.36666667,1.033333333,6.5,0,117.8333333,2863
222,1998,2639.07619,3,56.28333333,7.702380952,8.75,4.021428571,8.166666667,1,131,2859
223,2002,2719.1,2,0.333333333,2.333333333,13.08333333,26.65,30.33333333,23.83333333,39,2856.666667
224,2000,2360,22.91666667,268.5166667,43.66666667,19.16666667,5.733333333,3.916666667,1.75,127.5,2853.166667
225,1995,2664.183333,1,40.31666667,1,9,0,11.16666667,1.333333333,125,2853
226,2000,2586.4,23.33333333,86.53333333,5.25,71.56666667,17.25,5.166666667,0,57.5,2853
227,1983,2513.05,0,6.45,0,0.5,1,0,0,320,2841
228,1996,2723.283333,0,28.93333333,3.266666667,11.98333333,1.2,2.333333333,0,68,2839
229,1992,2673.704762,1.166666667,61.81904762,0,16.97619048,0,11.58333333,1.666666667,70.08333333,2837
230,1995,2709.116667,0,8.85,1.166666667,15.41666667,0,5.116666667,0.333333333,92,2832
231,2001,2785.2,0,4,2.7,18,1.1,0,0.5,17.5,2829
232,2001,3.166666667,41.05,2573.983333,0,194.2166667,0.333333333,1.25,0,14,2828
233,1988,2712.25,0,18.41666667,0,27.5,0,27.5,1.333333333,37,2824
234,1987,2521.766667,3,48.54761905,1,14.56904762,0,16.28333333,1.333333333,208.5,2815
235,1992,2771.666667,0,1,4.833333333,6.5,1,2,29.33333333,1.666666667,2818
236,1988,2516.283333,0.166666667,19.65,0.5,2.333333333,0,4.233333333,0,268.8333333,2812
237,1977,2485.5,0,13.83333333,0,1,0,15.5,0.5,287.6666667,2804
238,1996,0.666666667,1700.733333,669.2666667,9.5,363.7833333,13.5,41.55,0,10,2809
239,2002,2644.233333,2.833333333,37.41666667,2.45,20.9,0.833333333,0.5,0,97.83333333,2807
240,1991,2686.883333,0,6.5,0,21.58333333,0.5,3.333333333,0.5,81.7,2801
241,1999,2698.583333,0.5,13.66666667,0,12.91666667,1,6.333333333,0.5,64.5,2798
242,2002,9.733333333,944,1218.533333,1.333333333,592.7333333,0.666666667,1.5,0.5,21,2790
243,2001,2651.583333,0.733333333,7.333333333,12.58333333,29.66666667,17.43333333,2.333333333,0,62,2783.666667
244,1995,2464.487302,3.333333333,71.89444444,24.78571429,19.33333333,9.154761905,20.67777778,1,168.3333333,2783
245,1998,2734.85,0,5.333333333,0.333333333,27.33333333,2.066666667,5.75,1,1,2777.666667
246,1995,2187.488095,26.1,203.2452381,59.71666667,90.4,37.06666667,40.9,4.583333333,127.5,2777
247,2001,1.733333333,1599.566667,273.0833333,5.033333333,896.0166667,0.333333333,0,0.5,2.4,2778.666667
248,2002,2468.266667,8.8,95.86666667,0.583333333,50.4,0.333333333,100.4166667,2.833333333,43.5,2771
249,2000,2537.683333,5.583333333,44.33333333,1.066666667,16.85,2.066666667,5.583333333,3.333333333,149.5,2766
